Rettungspunkt,Longitude,Latitude,Koordinaten,Schnellestes Fahrzeug,Anfahrtszeit,Nächstes Fahrzeug,Anfahrtsdistanz,Ankunft innerhalb 5min,Zeit_HM 81/1,Zeit_PA 84/1,Zeit_WK 81/1,Zeit_WK 84/1,Zeit_Fi 81/1,Zeit_Mifi 84/1,Zeit_Mifi 81/1 W,Zeit_Schöf 81/1,Zeit_Gr 81/1,Entf_HM 81/1,Entf_PA 84/1,Entf_WK 81/1,Entf_WK 84/1,Entf_Fi 81/1,Entf_Mifi 84/1,Entf_Mifi 81/1 W,Entf_Schöf 81/1,Entf_Gr 81/1
Thiersbach - Bad Griesbach i. Rottal, 13.23482,48.50660," 13.23482,48.50660",PA 84/1,25:41 min,PA 84/1,21.4 km,PA 84/1,73:20 min,25:41 min,67:08 min,54:33 min,80:38 min,75:43 min,75:43 min,52:49 min,67:38 min,67.1 km,21.4 km,54.8 km,45.7 km,77.5 km,80.7 km,80.7 km,68.3 km,67.9 km
Untermühle - Bad Griesbach i. Rottal, 13.20503,48.53121," 13.20503,48.53121",PA 84/1,26:27 min,PA 84/1,21.8 km,PA 84/1,74:05 min,26:27 min,67:54 min,55:18 min,81:24 min,76:28 min,76:28 min,53:34 min,68:24 min,67.5 km,21.8 km,55.2 km,46.1 km,77.9 km,81.1 km,81.1 km,68.7 km,68.3 km
Viertelsbach - Bad Griesbach i. Rottal, 13.22055,48.51811," 13.22055,48.51811",PA 84/1,27:11 min,PA 84/1,20.9 km,PA 84/1,74:50 min,27:11 min,68:38 min,56:03 min,82:08 min,77:13 min,77:13 min,54:19 min,69:08 min,66.6 km,20.9 km,54.3 km,45.2 km,77.0 km,80.2 km,80.2 km,67.8 km,67.5 km
Wegertsöd - Bad Griesbach i. Rottal, 13.22922,48.44840," 13.22922,48.44840",PA 84/1,31:25 min,PA 84/1,23.6 km,PA 84/1,79:03 min,31:25 min,72:52 min,60:17 min,86:22 min,81:26 min,81:26 min,58:32 min,73:22 min,69.2 km,23.6 km,57.0 km,47.9 km,79.7 km,82.9 km,82.9 km,70.5 km,70.1 km
Weghof - Bad Griesbach i. Rottal, 13.19250,48.43714," 13.19250,48.43714",PA 84/1,30:18 min,PA 84/1,33.2 km,PA 84/1,77:28 min,30:18 min,71:16 min,58:41 min,84:46 min,79:51 min,79:51 min,56:57 min,71:46 min,78.5 km,33.2 km,66.2 km,57.1 km,88.9 km,92.2 km,92.2 km,79.7 km,79.4 km
Weinberg - Bad Griesbach i. Rottal, 13.22838,48.45467," 13.22838,48.45467",PA 84/1,29:26 min,PA 84/1,22.8 km,PA 84/1,77:05 min,29:26 min,70:53 min,58:18 min,84:23 min,79:28 min,79:28 min,56:34 min,71:23 min,68.5 km,22.8 km,56.2 km,47.1 km,78.9 km,82.1 km,82.1 km,69.7 km,69.3 km
Weng - Bad Griesbach i. Rottal, 13.15146,48.45111," 13.15146,48.45111",PA 84/1,35:12 min,PA 84/1,37.8 km,PA 84/1,82:22 min,35:12 min,76:11 min,63:35 min,89:41 min,84:45 min,84:45 min,61:51 min,76:41 min,83.1 km,37.8 km,70.8 km,61.7 km,93.5 km,96.7 km,96.7 km,84.3 km,84.0 km
Wiesling - Bad Griesbach i. Rottal, 13.19201,48.52528," 13.19201,48.52528",PA 84/1,27:38 min,PA 84/1,22.9 km,PA 84/1,75:17 min,27:38 min,69:05 min,56:30 min,82:35 min,77:40 min,77:40 min,54:46 min,69:35 min,68.6 km,22.9 km,56.3 km,47.2 km,79.0 km,82.2 km,82.2 km,69.8 km,69.4 km
Wimm - Bad Griesbach i. Rottal, 13.20159,48.52511," 13.20159,48.52511",PA 84/1,26:19 min,PA 84/1,21.9 km,PA 84/1,73:58 min,26:19 min,67:46 min,55:11 min,81:16 min,76:21 min,76:21 min,53:27 min,68:16 min,67.7 km,21.9 km,55.4 km,46.3 km,78.0 km,81.3 km,81.3 km,68.8 km,68.5 km
Wimpeßl - Bad Griesbach i. Rottal, 13.22391,48.44034," 13.22391,48.44034",PA 84/1,31:10 min,PA 84/1,30.5 km,PA 84/1,78:20 min,31:10 min,72:09 min,59:33 min,85:39 min,80:43 min,80:43 min,57:49 min,72:39 min,75.8 km,30.5 km,63.5 km,54.4 km,86.2 km,89.5 km,89.5 km,77.0 km,76.7 km
Würm - Bad Griesbach i. Rottal, 13.21982,48.48392," 13.21982,48.48392",PA 84/1,29:45 min,PA 84/1,22.2 km,PA 84/1,77:24 min,29:45 min,71:12 min,58:37 min,84:42 min,79:47 min,79:47 min,56:52 min,71:42 min,67.9 km,22.2 km,55.6 km,46.5 km,78.3 km,81.5 km,81.5 km,69.1 km,68.7 km
Zachstorf - Bad Griesbach i. Rottal, 13.22259,48.47175," 13.22259,48.47175",PA 84/1,28:01 min,PA 84/1,22.1 km,PA 84/1,75:39 min,28:01 min,69:28 min,56:52 min,82:58 min,78:02 min,78:02 min,55:08 min,69:58 min,67.8 km,22.1 km,55.5 km,46.4 km,78.2 km,81.5 km,81.5 km,69.0 km,68.7 km
Zehentreith - Bad Griesbach i. Rottal, 13.22384,48.49669," 13.22384,48.49669",PA 84/1,27:22 min,PA 84/1,22.0 km,PA 84/1,75:01 min,27:22 min,68:49 min,56:14 min,82:19 min,77:24 min,77:24 min,54:29 min,69:19 min,67.7 km,22.0 km,55.4 km,46.3 km,78.1 km,81.3 km,81.3 km,68.9 km,68.6 km
Aicha - Beutelsbach Niederbay, 13.13164,48.53960," 13.13164,48.53960",PA 84/1,35:23 min,PA 84/1,28.7 km,PA 84/1,80:49 min,35:23 min,74:38 min,62:02 min,88:08 min,83:12 min,83:12 min,53:26 min,68:51 min,77.2 km,28.7 km,64.9 km,55.8 km,87.6 km,90.8 km,90.8 km,52.7 km,56.7 km
Anham - Beutelsbach Niederbay, 13.12048,48.57133," 13.12048,48.57133",PA 84/1,31:38 min,PA 84/1,31.3 km,PA 84/1,75:01 min,31:38 min,68:49 min,56:14 min,82:19 min,77:24 min,77:24 min,47:37 min,63:03 min,72.0 km,31.3 km,59.7 km,50.6 km,82.4 km,85.6 km,85.6 km,47.5 km,51.5 km
Atzing - Beutelsbach Niederbay, 13.15770,48.56425," 13.15770,48.56425",PA 84/1,33:40 min,PA 84/1,27.8 km,PA 84/1,77:09 min,33:40 min,70:58 min,58:22 min,84:28 min,79:32 min,79:32 min,49:58 min,65:23 min,71.2 km,27.8 km,58.9 km,49.8 km,81.6 km,84.8 km,84.8 km,48.4 km,52.5 km
Au - Beutelsbach Niederbay, 13.15135,48.57494," 13.15135,48.57494",PA 84/1,32:38 min,PA 84/1,30.2 km,PA 84/1,76:01 min,32:38 min,69:49 min,57:14 min,83:19 min,78:24 min,78:24 min,48:37 min,64:02 min,70.9 km,30.2 km,58.6 km,49.5 km,81.3 km,84.5 km,84.5 km,46.4 km,50.5 km
Bergham - Beutelsbach Niederbay, 13.13511,48.55943," 13.13511,48.55943",PA 84/1,33:54 min,PA 84/1,33.5 km,PA 84/1,77:17 min,33:54 min,71:05 min,58:30 min,84:35 min,79:40 min,79:40 min,49:53 min,65:19 min,74.2 km,33.5 km,62.0 km,52.8 km,84.6 km,87.8 km,87.8 km,49.7 km,53.8 km
Beutelsbach - Beutelsbach Niederbay, 13.11348,48.55160," 13.11348,48.55160",PA 84/1,34:16 min,PA 84/1,33.7 km,PA 84/1,77:39 min,34:16 min,71:28 min,58:52 min,84:58 min,80:02 min,80:02 min,50:16 min,65:41 min,74.4 km,33.7 km,62.1 km,53.0 km,84.8 km,88.0 km,88.0 km,49.9 km,53.9 km
Buch - Beutelsbach Niederbay, 13.14903,48.56315," 13.14903,48.56315",PA 84/1,34:30 min,PA 84/1,31.0 km,PA 84/1,77:53 min,34:30 min,71:41 min,59:06 min,85:11 min,80:16 min,80:16 min,50:29 min,65:55 min,71.7 km,31.0 km,59.5 km,50.3 km,82.1 km,85.4 km,85.4 km,47.2 km,51.3 km
Fadering - Beutelsbach Niederbay, 13.16596,48.56092," 13.16596,48.56092",PA 84/1,32:36 min,PA 84/1,27.0 km,PA 84/1,76:06 min,32:36 min,69:54 min,57:19 min,83:24 min,78:29 min,78:29 min,48:55 min,64:20 min,70.4 km,27.0 km,58.1 km,49.0 km,80.8 km,84.0 km,84.0 km,47.6 km,51.6 km
Freyung - Beutelsbach Niederbay, 13.13260,48.56897," 13.13260,48.56897",PA 84/1,35:17 min,PA 84/1,31.2 km,PA 84/1,78:40 min,35:17 min,72:29 min,59:53 min,85:59 min,81:03 min,81:03 min,51:17 min,66:42 min,71.9 km,31.2 km,59.6 km,50.5 km,82.3 km,85.5 km,85.5 km,47.4 km,51.4 km
Goppenberg - Beutelsbach Niederbay, 13.12150,48.54545," 13.12150,48.54545",PA 84/1,37:03 min,PA 84/1,35.1 km,PA 84/1,80:26 min,37:03 min,74:14 min,61:39 min,87:44 min,82:49 min,82:49 min,53:02 min,68:27 min,75.8 km,35.1 km,63.5 km,54.4 km,86.2 km,89.4 km,89.4 km,51.3 km,55.3 km
Hinterskirchen - Beutelsbach Niederbay, 13.08630,48.54422," 13.08630,48.54422",PA 84/1,40:00 min,PA 84/1,36.7 km,PA 84/1,83:23 min,40:00 min,77:12 min,64:36 min,90:42 min,85:46 min,85:46 min,53:50 min,70:46 min,77.4 km,36.7 km,65.1 km,56.0 km,87.8 km,91.0 km,91.0 km,52.0 km,69.5 km
Kettenham - Beutelsbach Niederbay, 13.17329,48.56058," 13.17329,48.56058",PA 84/1,32:03 min,PA 84/1,26.5 km,PA 84/1,75:32 min,32:03 min,69:21 min,56:45 min,82:51 min,77:55 min,77:55 min,48:21 min,63:46 min,69.8 km,26.5 km,57.5 km,48.4 km,80.2 km,83.5 km,83.5 km,47.1 km,51.1 km
Kleeberg - Beutelsbach Niederbay, 13.10453,48.55668," 13.10453,48.55668",PA 84/1,36:39 min,PA 84/1,35.1 km,PA 84/1,80:02 min,36:39 min,73:51 min,61:15 min,87:21 min,82:25 min,82:25 min,51:44 min,68:04 min,75.8 km,35.1 km,63.5 km,54.4 km,86.2 km,89.4 km,89.4 km,50.0 km,55.3 km
Klessing - Beutelsbach Niederbay, 13.14259,48.56840," 13.14259,48.56840",PA 84/1,33:54 min,PA 84/1,30.9 km,PA 84/1,77:17 min,33:54 min,71:05 min,58:30 min,84:35 min,79:40 min,79:40 min,49:53 min,65:19 min,71.6 km,30.9 km,59.3 km,50.2 km,82.0 km,85.2 km,85.2 km,47.1 km,51.1 km
Kurzenbruck - Beutelsbach Niederbay, 13.12381,48.56781," 13.12381,48.56781",PA 84/1,33:19 min,PA 84/1,32.1 km,PA 84/1,76:41 min,33:19 min,70:30 min,57:55 min,84:00 min,79:04 min,79:04 min,49:18 min,64:43 min,72.8 km,32.1 km,60.5 km,51.4 km,83.2 km,86.4 km,86.4 km,48.3 km,52.3 km
Langenbruck - Beutelsbach Niederbay, 13.12720,48.56247," 13.12720,48.56247",PA 84/1,33:16 min,PA 84/1,32.8 km,PA 84/1,76:38 min,33:16 min,70:27 min,57:52 min,83:57 min,79:01 min,79:01 min,49:15 min,64:40 min,73.5 km,32.8 km,61.2 km,52.1 km,83.8 km,87.1 km,87.1 km,49.0 km,53.0 km
Ledering - Beutelsbach Niederbay, 13.15212,48.54748," 13.15212,48.54748",PA 84/1,33:09 min,PA 84/1,26.8 km,PA 84/1,79:42 min,33:09 min,73:31 min,60:55 min,87:01 min,82:05 min,82:05 min,52:31 min,67:56 min,72.4 km,26.8 km,60.1 km,51.0 km,82.8 km,86.0 km,86.0 km,49.7 km,53.7 km
Moos - Beutelsbach Niederbay, 13.16029,48.54244," 13.16029,48.54244",PA 84/1,31:56 min,PA 84/1,25.9 km,PA 84/1,79:34 min,31:56 min,73:23 min,60:47 min,86:53 min,81:57 min,81:57 min,52:27 min,67:52 min,71.6 km,25.9 km,59.4 km,50.3 km,82.0 km,85.3 km,85.3 km,50.4 km,54.4 km
Oberham - Beutelsbach Niederbay, 13.14362,48.54502," 13.14362,48.54502",PA 84/1,34:02 min,PA 84/1,27.6 km,PA 84/1,80:35 min,34:02 min,74:24 min,61:48 min,87:54 min,82:58 min,82:58 min,53:24 min,68:49 min,73.2 km,27.6 km,60.9 km,51.8 km,83.5 km,86.8 km,86.8 km,50.4 km,54.4 km
Oberndobl - Beutelsbach Niederbay, 13.09433,48.54875," 13.09433,48.54875",PA 84/1,39:42 min,PA 84/1,36.1 km,PA 84/1,83:05 min,39:42 min,76:54 min,64:18 min,90:24 min,85:28 min,85:28 min,55:42 min,71:07 min,76.8 km,36.1 km,64.6 km,55.4 km,87.2 km,90.5 km,90.5 km,52.3 km,56.4 km
Rappmannsberg - Beutelsbach Niederbay, 13.13824,48.53917," 13.13824,48.53917",PA 84/1,35:47 min,PA 84/1,28.7 km,PA 84/1,82:16 min,35:47 min,76:05 min,63:29 min,89:35 min,84:39 min,84:39 min,54:53 min,70:18 min,78.1 km,28.7 km,65.8 km,56.7 km,88.5 km,91.7 km,91.7 km,53.6 km,57.6 km
Sextlgrub - Beutelsbach Niederbay, 13.14915,48.56139," 13.14915,48.56139",PA 84/1,34:21 min,PA 84/1,28.6 km,PA 84/1,77:50 min,34:21 min,71:39 min,59:03 min,85:09 min,80:13 min,80:13 min,50:39 min,66:04 min,72.0 km,28.6 km,59.7 km,50.6 km,82.4 km,85.6 km,85.6 km,49.2 km,53.2 km
Sperklgrub - Beutelsbach Niederbay, 13.14608,48.56364," 13.14608,48.56364",PA 84/1,34:27 min,PA 84/1,28.7 km,PA 84/1,77:56 min,34:27 min,71:45 min,59:09 min,85:15 min,80:19 min,80:19 min,50:42 min,66:07 min,72.1 km,28.7 km,59.8 km,50.7 km,82.5 km,85.7 km,85.7 km,47.4 km,51.4 km
Strixen - Beutelsbach Niederbay, 13.13475,48.53850," 13.13475,48.53850",PA 84/1,36:04 min,PA 84/1,28.9 km,PA 84/1,81:48 min,36:04 min,75:37 min,63:01 min,89:07 min,84:11 min,84:11 min,54:25 min,69:50 min,77.5 km,28.9 km,65.3 km,56.1 km,87.9 km,91.2 km,91.2 km,53.1 km,57.1 km
Thal - Beutelsbach Niederbay, 13.10787,48.54410," 13.10787,48.54410",PA 84/1,36:06 min,PA 84/1,34.6 km,PA 84/1,79:29 min,36:06 min,73:17 min,60:42 min,86:47 min,81:52 min,81:52 min,52:05 min,67:31 min,75.3 km,34.6 km,63.0 km,53.9 km,85.7 km,89.0 km,89.0 km,50.8 km,54.9 km
Tillbach - Beutelsbach Niederbay, 13.11644,48.53871," 13.11644,48.53871",PA 84/1,35:57 min,PA 84/1,35.2 km,PA 84/1,79:20 min,35:57 min,73:08 min,60:33 min,86:38 min,81:43 min,81:43 min,51:56 min,67:22 min,75.9 km,35.2 km,63.7 km,54.5 km,86.3 km,89.6 km,89.6 km,51.5 km,55.5 km
Unterholzen - Beutelsbach Niederbay, 13.10534,48.54942," 13.10534,48.54942",PA 84/1,35:58 min,PA 84/1,34.7 km,PA 84/1,79:21 min,35:58 min,73:10 min,60:34 min,86:40 min,81:44 min,81:44 min,51:58 min,67:23 min,75.3 km,34.7 km,63.1 km,54.0 km,85.7 km,89.0 km,89.0 km,50.9 km,54.9 km
Weihersberg - Beutelsbach Niederbay, 13.14525,48.53961," 13.14525,48.53961",PA 84/1,35:32 min,PA 84/1,28.4 km,PA 84/1,82:06 min,35:32 min,75:54 min,63:19 min,89:24 min,84:29 min,84:29 min,54:54 min,70:20 min,74.0 km,28.4 km,61.8 km,52.6 km,84.4 km,87.7 km,87.7 km,51.3 km,55.3 km
Wiesa - Beutelsbach Niederbay, 13.14696,48.55372," 13.14696,48.55372",PA 84/1,35:11 min,PA 84/1,27.8 km,PA 84/1,79:45 min,35:11 min,73:33 min,60:58 min,87:03 min,82:08 min,82:08 min,52:21 min,67:47 min,75.6 km,27.8 km,63.3 km,54.2 km,86.0 km,89.2 km,89.2 km,51.1 km,55.1 km
Wimpassing - Beutelsbach Niederbay, 13.14645,48.57095," 13.14645,48.57095",PA 84/1,35:03 min,PA 84/1,31.0 km,PA 84/1,78:26 min,35:03 min,72:14 min,59:39 min,85:44 min,80:49 min,80:49 min,51:02 min,66:28 min,71.7 km,31.0 km,59.4 km,50.3 km,82.1 km,85.3 km,85.3 km,47.2 km,51.2 km
Breitenberg - Breitenberg Niederbay, 13.79404,48.70441," 13.79404,48.70441",HM 81/1,13:03 min,HM 81/1,11.3 km,"HM 81/1, WK 84/1",13:03 min,49:50 min,19:24 min,17:55 min,55:47 min,43:51 min,43:51 min,70:40 min,53:14 min,11.3 km,37.1 km,13.2 km,15.6 km,46.0 km,36.2 km,36.2 km,62.8 km,46.7 km
Burgstallberg - Breitenberg Niederbay, 13.76718,48.71399," 13.76718,48.71399",HM 81/1,10:45 min,HM 81/1,8.3 km,HM 81/1,10:45 min,51:03 min,20:37 min,19:08 min,53:30 min,41:34 min,41:34 min,68:16 min,50:56 min,8.3 km,37.0 km,13.2 km,15.5 km,43.0 km,33.2 km,33.2 km,59.0 km,43.7 km
Gegenbach - Breitenberg Niederbay, 13.76934,48.69979," 13.76934,48.69979",HM 81/1,13:10 min,HM 81/1,9.8 km,"HM 81/1, WK 84/1",13:10 min,49:54 min,19:27 min,17:58 min,55:54 min,43:59 min,43:59 min,70:41 min,53:21 min,9.8 km,35.8 km,12.0 km,14.3 km,44.4 km,34.6 km,34.6 km,60.4 km,45.1 km
Gollnerberg - Breitenberg Niederbay, 13.81039,48.67049," 13.81039,48.67049",HM 81/1,20:32 min,HM 81/1,15.3 km,"HM 81/1, WK 81/1, WK 84/1",20:32 min,54:19 min,23:52 min,22:23 min,63:16 min,51:20 min,51:20 min,75:53 min,60:43 min,15.3 km,39.5 km,15.7 km,18.0 km,50.0 km,40.2 km,40.2 km,66.3 km,50.7 km
Gollnerhäuser - Breitenberg Niederbay, 13.79953,48.68572," 13.79953,48.68572",HM 81/1,17:10 min,HM 81/1,13.8 km,"HM 81/1, WK 81/1, WK 84/1",17:10 min,50:57 min,20:31 min,19:02 min,59:54 min,47:59 min,47:59 min,72:31 min,57:21 min,13.8 km,37.9 km,14.1 km,16.4 km,48.4 km,38.6 km,38.6 km,64.7 km,49.1 km
Hangerleiten - Breitenberg Niederbay, 13.79682,48.67596," 13.79682,48.67596",HM 81/1,17:10 min,HM 81/1,13.8 km,"HM 81/1, WK 81/1, WK 84/1",17:10 min,50:57 min,20:31 min,19:02 min,59:55 min,47:59 min,47:59 min,72:31 min,57:21 min,13.8 km,37.9 km,14.1 km,16.4 km,48.4 km,38.6 km,38.6 km,64.7 km,49.1 km
Hirschenberg - Breitenberg Niederbay, 13.73731,48.71016," 13.73731,48.71016",HM 81/1,12:24 min,HM 81/1,8.6 km,HM 81/1,12:24 min,50:25 min,19:58 min,18:29 min,53:23 min,43:13 min,43:13 min,65:20 min,50:50 min,8.6 km,35.1 km,11.3 km,13.6 km,41.3 km,33.5 km,33.5 km,56.8 km,42.0 km
Jägersteig - Breitenberg Niederbay, 13.77825,48.68396," 13.77825,48.68396",HM 81/1,16:42 min,WK 81/1,12.1 km,"HM 81/1, WK 81/1, WK 84/1",16:42 min,49:10 min,18:44 min,17:15 min,59:26 min,47:31 min,47:31 min,70:44 min,56:53 min,12.1 km,35.9 km,12.1 km,14.4 km,46.8 km,37.0 km,37.0 km,62.6 km,47.5 km
Kohlstatt - Breitenberg Niederbay, 13.81702,48.66085," 13.81702,48.66085",HM 81/1,22:07 min,WK 81/1,14.9 km,"HM 81/1, WK 81/1, WK 84/1",22:07 min,54:39 min,24:13 min,22:44 min,64:52 min,52:56 min,52:56 min,76:13 min,62:18 min,16.3 km,38.7 km,14.9 km,17.2 km,51.0 km,41.2 km,41.2 km,65.5 km,51.7 km
Neumühle - Breitenberg Niederbay, 13.80438,48.67886," 13.80438,48.67886",HM 81/1,17:28 min,HM 81/1,13.8 km,"HM 81/1, WK 81/1, WK 84/1",17:28 min,51:15 min,20:48 min,19:19 min,60:12 min,48:16 min,48:16 min,72:48 min,57:38 min,13.8 km,38.0 km,14.2 km,16.5 km,48.5 km,38.7 km,38.7 km,64.8 km,49.2 km
Obernstein - Breitenberg Niederbay, 13.76495,48.67868," 13.76495,48.67868",HM 81/1,15:44 min,WK 81/1,10.4 km,"HM 81/1, WK 81/1, WK 84/1",15:44 min,47:54 min,17:28 min,15:59 min,58:28 min,46:32 min,46:32 min,69:28 min,55:54 min,11.8 km,34.3 km,10.4 km,12.8 km,46.5 km,36.7 km,36.7 km,61.0 km,47.2 km
Rastbüchl - Breitenberg Niederbay, 13.75445,48.69272," 13.75445,48.69272",HM 81/1,13:31 min,WK 81/1,10.3 km,"HM 81/1, WK 81/1, WK 84/1",13:31 min,47:18 min,16:51 min,15:22 min,56:15 min,44:19 min,44:19 min,68:51 min,53:42 min,10.5 km,34.1 km,10.3 km,12.6 km,45.2 km,35.4 km,35.4 km,60.9 km,45.9 km
Schönberg - Breitenberg Niederbay, 13.76901,48.68342," 13.76901,48.68342",HM 81/1,15:42 min,WK 81/1,11.1 km,"HM 81/1, WK 81/1, WK 84/1",15:42 min,47:58 min,17:32 min,16:03 min,58:26 min,46:30 min,46:30 min,69:32 min,55:53 min,11.9 km,34.9 km,11.1 km,13.4 km,46.5 km,36.8 km,36.8 km,61.7 km,47.2 km
Sonningersteig - Breitenberg Niederbay, 13.76254,48.68858," 13.76254,48.68858",HM 81/1,14:54 min,WK 81/1,10.1 km,"HM 81/1, WK 81/1, WK 84/1",14:54 min,46:59 min,16:32 min,15:03 min,57:38 min,45:43 min,45:43 min,68:33 min,55:05 min,11.3 km,33.9 km,10.1 km,12.4 km,45.9 km,36.1 km,36.1 km,60.7 km,46.6 km
Spiesbrunn - Breitenberg Niederbay, 13.77573,48.67772," 13.77573,48.67772",HM 81/1,17:33 min,WK 81/1,11.3 km,"HM 81/1, WK 81/1, WK 84/1",17:33 min,49:44 min,19:17 min,17:48 min,60:17 min,48:22 min,48:22 min,71:17 min,57:44 min,12.7 km,35.2 km,11.3 km,13.7 km,47.4 km,37.6 km,37.6 km,62.0 km,48.1 km
Tiefleiten - Breitenberg Niederbay, 13.78182,48.68720," 13.78182,48.68720",HM 81/1,16:43 min,HM 81/1,12.6 km,"HM 81/1, WK 81/1, WK 84/1",16:43 min,50:30 min,20:03 min,18:34 min,59:27 min,47:31 min,47:31 min,72:04 min,56:54 min,12.6 km,36.8 km,13.0 km,15.3 km,47.3 km,37.5 km,37.5 km,63.6 km,48.0 km
Ungarsteig - Breitenberg Niederbay, 13.77201,48.71675," 13.77201,48.71675",HM 81/1,9:55 min,HM 81/1,7.5 km,HM 81/1,9:55 min,52:25 min,21:59 min,20:30 min,52:39 min,40:43 min,40:43 min,67:25 min,50:06 min,7.5 km,37.7 km,13.8 km,16.2 km,42.2 km,32.4 km,32.4 km,58.2 km,42.9 km
Bärnreuth - Büchlberg, 13.56690,48.69169," 13.56690,48.69169",WK 84/1,11:39 min,WK 84/1,9.9 km,WK 84/1,26:04 min,29:51 min,20:17 min,11:39 min,40:55 min,35:59 min,35:59 min,49:20 min,36:37 min,20.1 km,23.4 km,14.9 km,9.9 km,36.4 km,39.6 km,39.6 km,43.1 km,32.3 km
Büchlberg - Büchlberg, 13.51144,48.66831," 13.51144,48.66831",WK 84/1,13:02 min,WK 84/1,11.3 km,WK 84/1,32:47 min,22:57 min,25:38 min,13:02 min,41:02 min,36:07 min,36:07 min,42:26 min,36:45 min,25.7 km,17.8 km,20.4 km,11.3 km,38.0 km,41.2 km,41.2 km,37.4 km,33.9 km
Denkhof - Büchlberg, 13.53511,48.70801," 13.53511,48.70801",WK 84/1,16:36 min,WK 84/1,13.8 km,WK 84/1,28:46 min,27:56 min,24:09 min,16:36 min,36:04 min,31:09 min,31:09 min,44:32 min,31:47 min,22.1 km,22.6 km,16.3 km,13.8 km,32.5 km,35.7 km,35.7 km,39.5 km,28.4 km
Draxing - Büchlberg, 13.51459,48.66073," 13.51459,48.66073",WK 84/1,13:42 min,WK 84/1,11.7 km,WK 84/1,33:27 min,25:09 min,26:17 min,13:42 min,42:07 min,37:11 min,37:11 min,44:38 min,37:49 min,26.1 km,19.3 km,20.8 km,11.7 km,38.6 km,41.8 km,41.8 km,39.0 km,34.5 km
Eberhardsberg - Büchlberg, 13.54392,48.67973," 13.54392,48.67973",WK 84/1,10:22 min,WK 84/1,9.0 km,WK 84/1,28:50 min,26:54 min,22:57 min,10:22 min,41:38 min,36:42 min,36:42 min,46:24 min,37:20 min,22.4 km,21.1 km,18.1 km,9.0 km,37.1 km,40.4 km,40.4 km,40.8 km,33.0 km
Edthof - Büchlberg, 13.52552,48.68681," 13.52552,48.68681",WK 84/1,14:39 min,WK 84/1,10.7 km,WK 84/1,32:12 min,25:08 min,26:49 min,14:39 min,39:31 min,34:35 min,34:35 min,43:12 min,35:13 min,26.1 km,20.9 km,18.7 km,10.7 km,36.5 km,39.7 km,39.7 km,39.0 km,32.4 km
Freihof - Büchlberg, 13.49457,48.66813," 13.49457,48.66813",WK 84/1,14:37 min,WK 84/1,12.6 km,WK 84/1,33:41 min,21:23 min,27:13 min,14:37 min,40:59 min,36:04 min,36:04 min,40:53 min,36:42 min,28.8 km,16.5 km,21.7 km,12.6 km,39.2 km,42.5 km,42.5 km,36.2 km,35.2 km
Freimadlsäge - Büchlberg, 13.53470,48.67361," 13.53470,48.67361",WK 84/1,10:35 min,WK 84/1,9.2 km,WK 84/1,30:20 min,25:24 min,23:11 min,10:35 min,42:22 min,37:26 min,37:26 min,44:53 min,38:04 min,23.7 km,19.8 km,18.4 km,9.2 km,39.1 km,42.3 km,42.3 km,39.5 km,35.0 km
Germannsberg - Büchlberg, 13.53592,48.70144," 13.53592,48.70144",WK 84/1,15:33 min,WK 84/1,13.2 km,WK 84/1,29:36 min,27:33 min,24:34 min,15:33 min,36:54 min,31:59 min,31:59 min,45:21 min,32:36 min,22.9 km,22.9 km,18.3 km,13.2 km,33.2 km,36.5 km,36.5 km,40.2 km,29.2 km
Gummering - Büchlberg, 13.49699,48.64820," 13.49699,48.64820",WK 84/1,16:41 min,WK 84/1,13.8 km,WK 84/1,36:26 min,22:36 min,29:16 min,16:41 min,45:05 min,40:10 min,40:10 min,45:57 min,40:47 min,28.2 km,14.5 km,22.9 km,13.8 km,40.6 km,43.9 km,43.9 km,40.0 km,36.5 km
Gutwiesen - Büchlberg, 13.49586,48.67379," 13.49586,48.67379",WK 84/1,16:06 min,WK 84/1,12.9 km,WK 84/1,34:14 min,22:32 min,28:41 min,16:06 min,41:32 min,36:37 min,36:37 min,41:16 min,37:15 min,27.5 km,16.9 km,22.0 km,12.9 km,37.9 km,41.1 km,41.1 km,35.7 km,33.8 km
Haizing - Büchlberg, 13.53394,48.65055," 13.53394,48.65055",WK 84/1,15:51 min,WK 84/1,9.9 km,WK 84/1,35:41 min,28:16 min,28:26 min,15:51 min,45:14 min,40:18 min,40:18 min,47:45 min,40:56 min,27.5 km,21.4 km,19.0 km,9.9 km,40.7 km,43.9 km,43.9 km,41.1 km,36.6 km
Hartingerhof - Büchlberg, 13.56111,48.67775," 13.56111,48.67775",WK 84/1,11:16 min,WK 84/1,8.8 km,WK 84/1,29:28 min,29:33 min,23:41 min,11:16 min,42:30 min,37:35 min,37:35 min,49:03 min,38:12 min,22.0 km,22.6 km,16.8 km,8.8 km,36.9 km,40.1 km,40.1 km,42.2 km,32.9 km
Heideck - Büchlberg, 13.49136,48.66024," 13.49136,48.66024",WK 84/1,17:59 min,WK 84/1,13.7 km,"PA 84/1, WK 84/1",35:13 min,21:29 min,30:35 min,17:59 min,42:32 min,37:36 min,37:36 min,42:50 min,38:14 min,29.9 km,15.6 km,22.8 km,13.7 km,40.2 km,43.5 km,43.5 km,38.3 km,36.2 km
