Rettungspunkt,Longitude,Latitude,Koordinaten,Schnellestes Fahrzeug,Anfahrtszeit,Nächstes Fahrzeug,Anfahrtsdistanz,Ankunft innerhalb 5min,Zeit_HM 81/1,Zeit_PA 84/1,Zeit_WK 81/1,Zeit_WK 84/1,Zeit_Fi 81/1,Zeit_Mifi 84/1,Zeit_Mifi 81/1 W,Zeit_Schöf 81/1,Zeit_Gr 81/1,Entf_HM 81/1,Entf_PA 84/1,Entf_WK 81/1,Entf_WK 84/1,Entf_Fi 81/1,Entf_Mifi 84/1,Entf_Mifi 81/1 W,Entf_Schöf 81/1,Entf_Gr 81/1
Hilking - Ortenburg, 13.24669,48.56905," 13.24669,48.56905",PA 84/1,22:15 min,PA 84/1,20.9 km,PA 84/1,65:38 min,22:15 min,59:27 min,46:51 min,72:57 min,68:01 min,68:01 min,46:08 min,61:34 min,61.6 km,20.9 km,49.4 km,40.2 km,72.0 km,75.3 km,75.3 km,47.3 km,51.3 km
Hinding - Ortenburg, 13.18374,48.56339," 13.18374,48.56339",PA 84/1,30:58 min,PA 84/1,26.4 km,PA 84/1,74:21 min,30:58 min,68:09 min,55:34 min,81:39 min,76:44 min,76:44 min,48:48 min,64:13 min,67.1 km,26.4 km,54.8 km,45.7 km,77.5 km,80.7 km,80.7 km,47.6 km,51.6 km
Hinterhainberg - Ortenburg, 13.24335,48.54740," 13.24335,48.54740",PA 84/1,25:34 min,PA 84/1,18.1 km,PA 84/1,69:11 min,25:34 min,62:59 min,50:24 min,76:29 min,71:34 min,71:34 min,49:41 min,65:06 min,64.3 km,18.1 km,52.1 km,43.0 km,74.7 km,78.0 km,78.0 km,50.0 km,54.0 km
Hinterschloß - Ortenburg, 13.23806,48.55864," 13.23806,48.55864",PA 84/1,25:35 min,PA 84/1,22.6 km,PA 84/1,68:58 min,25:35 min,62:46 min,50:11 min,76:16 min,71:21 min,71:21 min,49:28 min,64:53 min,63.3 km,22.6 km,51.0 km,41.9 km,73.7 km,76.9 km,76.9 km,48.9 km,53.0 km
Hochhaus - Ortenburg, 13.19661,48.53178," 13.19661,48.53178",PA 84/1,27:20 min,PA 84/1,22.5 km,PA 84/1,74:59 min,27:20 min,68:47 min,56:12 min,82:17 min,77:22 min,77:22 min,54:28 min,69:17 min,68.2 km,22.5 km,55.9 km,46.8 km,78.6 km,81.8 km,81.8 km,69.4 km,69.1 km
Höck - Ortenburg, 13.17782,48.55065," 13.17782,48.55065",PA 84/1,33:53 min,PA 84/1,26.1 km,PA 84/1,77:22 min,33:53 min,71:11 min,58:35 min,84:41 min,79:45 min,79:45 min,50:29 min,65:54 min,69.4 km,26.1 km,57.1 km,48.0 km,79.8 km,83.1 km,83.1 km,48.6 km,52.7 km
Höfl - Ortenburg, 13.26179,48.57806," 13.26179,48.57806",PA 84/1,22:16 min,PA 84/1,20.6 km,PA 84/1,65:39 min,22:16 min,59:27 min,46:52 min,72:57 min,68:02 min,68:02 min,46:09 min,61:34 min,61.2 km,20.6 km,49.0 km,39.9 km,71.6 km,74.9 km,74.9 km,46.9 km,50.9 km
Holzkirchen - Ortenburg, 13.23476,48.57718," 13.23476,48.57718",PA 84/1,23:03 min,PA 84/1,21.6 km,PA 84/1,66:26 min,23:03 min,60:14 min,47:39 min,73:44 min,68:49 min,68:49 min,46:56 min,62:21 min,62.3 km,21.6 km,50.0 km,40.9 km,72.7 km,75.9 km,75.9 km,47.9 km,51.9 km
Hübing - Ortenburg, 13.23835,48.51462," 13.23835,48.51462",PA 84/1,23:28 min,PA 84/1,19.0 km,PA 84/1,71:07 min,23:28 min,64:55 min,52:20 min,78:25 min,73:30 min,73:30 min,50:35 min,65:25 min,64.7 km,19.0 km,52.4 km,43.3 km,75.0 km,78.3 km,78.3 km,65.8 km,65.5 km
Irgenöd - Ortenburg, 13.24906,48.56228," 13.24906,48.56228",PA 84/1,23:32 min,PA 84/1,21.9 km,PA 84/1,66:55 min,23:32 min,60:44 min,48:08 min,74:14 min,69:18 min,69:18 min,47:25 min,62:50 min,62.6 km,21.9 km,50.3 km,41.2 km,73.0 km,76.2 km,76.2 km,48.2 km,52.2 km
